2016-04-05 19:38:24,885 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\sushm\Lab10\JerseyTutorial\pom.xml
2016-04-05 19:38:31,199 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.first.jersey.tutorial:JerseyTutorial:0.0.1-SNAPSHOT @ C:\Users\sushm\Lab10\JerseyTutorial\pom.xml.
2016-04-05 19:38:36,373 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JerseyTutorial/src/main/java
2016-04-05 19:38:36,373 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /JerseyTutorial/src/main/resources
2016-04-05 19:38:36,374 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JerseyTutorial/src/test/java
2016-04-05 19:38:40,938 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 16 sec
2016-04-05 19:38:42,344 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-05 19:38:42,355 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-05 19:38:42,358 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-05 19:38:42,363 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab10\JerseyTutorial\src\test\resources
2016-04-05 19:39:01,863 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-05 19:39:01,883 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-05 19:39:01,885 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-05 19:39:01,888 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab10\JerseyTutorial\src\test\resources
2016-04-05 19:40:12,254 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-05 19:40:12,262 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
